Sentence,Previous,Next
"Clause (b) of the Explanation to Section 3(1) of the Act of
1980 relates to dealing in any commodity which is an essential commodity as defined
in the Essential Commodities Act, 1955, or with respect to which provisions have
been made in any such other law as is referred to in clause (a).","Clause (a) relates to committing or instigating any person to
commit any offence punishable under the Essential Commodities Act, 10 of 1955, or
under any other law for the time being in force relating to the control of the
production, supply or distribution of, or trade and commerce in, any commodity
essential to the community.","We find it quite
difficult to understand as to which are the remaining commodities outside the scope
of the Act of 1980, in respect of which it can be said that the maintenance of their
supplies is essential to the community."
"The particular clause in sub- section (2) of
Section 3 of the National Security Act is, therefore, capable of wanton abuse in that,
the detaining authority can place under detention any person for possession of any
commodity on the basis that the authority is of the opinion that the maintenance of
supply of that commodity is essential to the community.","We find it quite
difficult to understand as to which are the remaining commodities outside the scope
of the Act of 1980, in respect of which it can be said that the maintenance of their
supplies is essential to the community.","We consider the particular
clause not only vague and uncertain but, in the context of the Explanation, capable of
being extended cavalierly to supplies, the maintenance of which is not essential to the
community."
Let us examine clause (i) of Section 2(1)(a).,131.,"This section is shown to be blissfully
and impermissibly vague and imprecise."
"Section 66 in stark contrast to
Section 66A states:
""66.","Judged by the standards laid down in the aforesaid judgments, it is quite clear that the
expressions used in 66A are completely open-ended and undefined.","Computer related offences.-If any person, dishonestly or fraudulently, does any
act referred to in Section 43, he shall be punishable with imprisonment for a term
which may extend to three years or with fine which may extend to five lakh rupees or
with both."
"Computer related offences.-If any person, dishonestly or fraudulently, does any
act referred to in Section 43, he shall be punishable with imprisonment for a term
which may extend to three years or with fine which may extend to five lakh rupees or
with both.","Section 66 in stark contrast to
Section 66A states:
""66.","Explanation.-For the purposes of this section,-
(a) the word ""dishonestly"" shall have the meaning assigned to it in Section 24 of the
Indian Penal Code (45 of 1860);
(b) the word ""fraudulently"" shall have the meaning assigned to it in Section 25 of the Indian Penal
Code (45 of 1860)."""
"Explanation.-For the purposes of this section,-
(a) the word ""dishonestly"" shall have the meaning assigned to it in Section 24 of the
Indian Penal Code (45 of 1860);
(b) the word ""fraudulently"" shall have the meaning assigned to it in Section 25 of the Indian Penal
Code (45 of 1860).""","Computer related offences.-If any person, dishonestly or fraudulently, does any
act referred to in Section 43, he shall be punishable with imprisonment for a term
which may extend to three years or with fine which may extend to five lakh rupees or
with both.",70.
"It will be clear that in all computer related offences that are spoken of by Section 66, mens rea is
an ingredient and the expression ""dishonestly"" and ""fraudulently"" are defined with some degree of
specificity, unlike the expressions used in Section 66A.",70.,71.
"The provisions contained in Sections 66B up to Section 67B also provide for various
punishments for offences that are clearly made out.",71.,"For example, under Section 66B, whoever
dishonestly receives or retains any stolen computer resource or communication device is punished
with imprisonment."
"For example, under Section 66B, whoever
dishonestly receives or retains any stolen computer resource or communication device is punished
with imprisonment.","The provisions contained in Sections 66B up to Section 67B also provide for various
punishments for offences that are clearly made out.","Under Section 66C, whoever fraudulently or dishonestly makes use of any
identification feature of another person is liable to punishment with imprisonment."
"Under Section 66C, whoever fraudulently or dishonestly makes use of any
identification feature of another person is liable to punishment with imprisonment.","For example, under Section 66B, whoever
dishonestly receives or retains any stolen computer resource or communication device is punished
with imprisonment.","Under Section
66D, whoever cheats by personating becomes liable to punishment with imprisonment."
"Under Section
66D, whoever cheats by personating becomes liable to punishment with imprisonment.","Under Section 66C, whoever fraudulently or dishonestly makes use of any
identification feature of another person is liable to punishment with imprisonment.","Section 66F
again is a narrowly drawn section which inflicts punishment which may extend to imprisonment for
life for persons who threaten the unity, integrity, security or sovereignty of India."
"Section 66F
again is a narrowly drawn section which inflicts punishment which may extend to imprisonment for
life for persons who threaten the unity, integrity, security or sovereignty of India.","Under Section
66D, whoever cheats by personating becomes liable to punishment with imprisonment.","Sections 67 to 67B
deal with punishment for offences for publishing or transmitting obscene material including
depicting children in sexually explicit acts in electronic form."
"Sections 67 to 67B
deal with punishment for offences for publishing or transmitting obscene material including
depicting children in sexually explicit acts in electronic form.","Section 66F
again is a narrowly drawn section which inflicts punishment which may extend to imprisonment for
life for persons who threaten the unity, integrity, security or sovereignty of India.",72.
"In the Indian Penal Code, a number of the expressions that occur in Section 66A occur in Section
268.",72.,"""268."
It is important to notice the distinction between the Sections 268 and 66A.,73.,"Whereas, in Section
268 the various expressions used are ingredients for the offence of a public nuisance, these
ingredients now become offences in themselves when it comes to Section 66A."
"Whereas, in Section
268 the various expressions used are ingredients for the offence of a public nuisance, these
ingredients now become offences in themselves when it comes to Section 66A.",It is important to notice the distinction between the Sections 268 and 66A.,"Further, under
Section 268, the person should be guilty of an act or omission which is illegal in nature - legal acts
are not within its net."
"Further, under
Section 268, the person should be guilty of an act or omission which is illegal in nature - legal acts
are not within its net.","Whereas, in Section
268 the various expressions used are ingredients for the offence of a public nuisance, these
ingredients now become offences in themselves when it comes to Section 66A.","A further ingredient is that injury, danger or annoyance must be to the public
in general."
"The expression ""annoyance"" appears also in Sections 294 and 510 of the IPC:
""294.","Injury, danger or annoyance are not offences by themselves howsoever made and to
whomsoever made.","Obscene acts and songs.-Whoever, to the annoyance of others,
(a) does any obscene act in any public place, or
(b) sings, recites or utters any obscene songs, ballad or words, in or near any public
place, shall be punished with imprisonment of either description for a term which
may extend to three months, or with fine, or with both."
"If one looks at Section 294, the annoyance that is spoken of is clearly defined - that is, it has to be
caused by obscene utterances or acts.",74.,"Equally, under Section 510, the annoyance that is caused to a
person must only be by another person who is in a state of intoxication and who annoys such person
only in a public place or in a place for which it is a trespass for him to enter."
"Equally, under Section 510, the annoyance that is caused to a
person must only be by another person who is in a state of intoxication and who annoys such person
only in a public place or in a place for which it is a trespass for him to enter.","If one looks at Section 294, the annoyance that is spoken of is clearly defined - that is, it has to be
caused by obscene utterances or acts.","Such narrowly and
closely defined contours of offences made out under the Penal Code are conspicuous by their
absence in Section 66A which in stark contrast uses completely open ended, undefined and vague
language."
"Such narrowly and
closely defined contours of offences made out under the Penal Code are conspicuous by their
absence in Section 66A which in stark contrast uses completely open ended, undefined and vague
language.","Equally, under Section 510, the annoyance that is caused to a
person must only be by another person who is in a state of intoxication and who annoys such person
only in a public place or in a place for which it is a trespass for him to enter.",75.
"Incidentally, none of the expressions used in Section 66A are defined.",75.,"Even ""criminal
intimidation"" is not defined - and the definition clause of the Information Technology Act, Section 2
does not say that words and expressions that are defined in the Penal Code will apply to this Act."
"Even ""criminal
intimidation"" is not defined - and the definition clause of the Information Technology Act, Section 2
does not say that words and expressions that are defined in the Penal Code will apply to this Act.","Incidentally, none of the expressions used in Section 66A are defined.",76.
"There is no demarcating line conveyed by any of these
expressions - and that is what renders the Section unconstitutionally vague.Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 3577.","Does a message have to be sent (say) at least eight times, before it can be said
that such message is ""persistently"" sent?","However, the learned Additional Solicitor General argued before us that expressions that are
used in Section 66A may be incapable of any precise definition but for that reason they are not
constitutionally vulnerable."
"However, the learned Additional Solicitor General argued before us that expressions that are
used in Section 66A may be incapable of any precise definition but for that reason they are not
constitutionally vulnerable.","There is no demarcating line conveyed by any of these
expressions - and that is what renders the Section unconstitutionally vague.Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 3577.",He cited a large number of judgments in support of this submission.
"None of the cited judgments dealt with a Section creating an offence which is saved despite its being
vague and in capable of any precise definition.",He cited a large number of judgments in support of this submission.,"In fact, most of the judgments cited before us did not
deal with criminal law at all."
"v. Kedia Leather & Liquor Limited, (2003) 7 SCC 389, paragraph 8
was cited to show that the expression ""nuisance"" appearing in Section 133 of the Code of Criminal
Procedure was also not capable of precise definition.","Similarly, in State of M.P.","This again was said in the context of an
argument that Section 133 of the Code of Criminal Procedure was impliedly repealed by the Water
(Prevention and Control of Pollution) Act, 1974."
"This again was said in the context of an
argument that Section 133 of the Code of Criminal Procedure was impliedly repealed by the Water
(Prevention and Control of Pollution) Act, 1974.","v. Kedia Leather & Liquor Limited, (2003) 7 SCC 389, paragraph 8
was cited to show that the expression ""nuisance"" appearing in Section 133 of the Code of Criminal
Procedure was also not capable of precise definition.","This contention was repelled by saying that the
areas of operation of the two provisions were completely different and they existed side by side
being mutually exclusive."
"This case again did not contain any argument that the provision contained
in Section 133 was vague and, therefore, unconstitutional.","This contention was repelled by saying that the
areas of operation of the two provisions were completely different and they existed side by side
being mutually exclusive.","Similarly, in State of Karnataka v. Appa
Balu Ingale, 1995 Supp."
"In fact, two English judgments cited by the learned Additional Solicitor General would
demonstrate how vague the words used in Section 66A are.",79.,"In Director of Public Prosecutions v.
Collins, (2006) 1 WLR 2223, the very expression ""grossly offensive"" is contained in Section 127(1)(1)
of the U.K. Communications Act, 2003."
"In Director of Public Prosecutions v.
Collins, (2006) 1 WLR 2223, the very expression ""grossly offensive"" is contained in Section 127(1)(1)
of the U.K. Communications Act, 2003.","In fact, two English judgments cited by the learned Additional Solicitor General would
demonstrate how vague the words used in Section 66A are.","A 61 year old man made a number of telephone calls over
two years to the office of a Member of Parliament."
"Quite
obviously, a prospective offender of Section 66A and the authorities who are to enforce Section 66A
have absolutely no manageable standard by which to book a person for an offence under Section
66A.","If judicially trained minds can
come to diametrically opposite conclusions on the same set of facts it is obvious that expressions
such as ""grossly offensive"" or ""menacing"" are so vague that there is no manageable standard by
which a person can be said to have committed an offence or not to have committed an offence.","This being the case, having regard also to the two English precedents cited by the learned
Additional Solicitor General, it is clear that Section 66A is unconstitutionally vague."
"This being the case, having regard also to the two English precedents cited by the learned
Additional Solicitor General, it is clear that Section 66A is unconstitutionally vague.","Quite
obviously, a prospective offender of Section 66A and the authorities who are to enforce Section 66A
have absolutely no manageable standard by which to book a person for an offence under Section
66A.","Ultimately, applying the tests referred to in Chintaman Rao and V.G."
"Row's case, referred to earlier
in the judgment, it is clear that Section 66A arbitrarily, excessively and disproportionately invades
the right of free speech and upsets the balance between such right and the reasonable restrictionsShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 38that may be imposed on such right.","Ultimately, applying the tests referred to in Chintaman Rao and V.G.","Chilling Effect And Overbreadth
83."
"Each one of these things may be grossly offensive, annoying, inconvenient, insulting or
injurious to large sections of particular communities and would fall within the net cast by Section
66A.","A certain section of a particular community may be grossly
offended or annoyed by communications over the internet by ""liberal views"" - such as the
emancipation of women or the abolition of the caste system or whether certain members of a non
proselytizing religion should be allowed to bring persons within their fold who are otherwise outside
the fold.","In point of fact, Section 66A is cast so widely that virtually any opinion on any subject would be
covered by it, as any serious opinion dissenting with the mores of the day would be caught within its
net."
"In point of fact, Section 66A is cast so widely that virtually any opinion on any subject would be
covered by it, as any serious opinion dissenting with the mores of the day would be caught within its
net.","Each one of these things may be grossly offensive, annoying, inconvenient, insulting or
injurious to large sections of particular communities and would fall within the net cast by Section
66A.","Such is the reach of the Section and if it is to withstand the test of constitutionality, the chilling
effect on free speech would be total."
"Such is the reach of the Section and if it is to withstand the test of constitutionality, the chilling
effect on free speech would be total.","In point of fact, Section 66A is cast so widely that virtually any opinion on any subject would be
covered by it, as any serious opinion dissenting with the mores of the day would be caught within its
net.",84.
"It is thus clear that not only are the expressions used
in Section 66A expressions of inexactitude but they are also over broad and would fall foul of the
repeated injunctions of this Court that restrictions on the freedom of speech must be couched in the
narrowest possible terms.","That the content of the right under Article 19(1)(a) remains the same whatever the means of
communication including internet communication is clearly established by Reno's case (supra) and
by The Secretary, Ministry of Information & Broadcasting v. Cricket Association of Bengal & Anr.,
(1995) SCC 2 161 at Para 78 already referred to.","For example, see, Kedar Nath Singh v. State of Bihar, [1962] Supp."
"A prime example is the section struck down in the
first Ram Manohar Lohia case, namely, Section 3 of the U.P.","In point of fact, judgments of the Constitution Bench of this Court have
struck down sections which are similar in nature.","Special Powers Act, where the persons
who ""instigated"" expressly or by implication any person or class of persons not to pay or to defer
payment of any liability were punishable."
"This Court specifically held that under the Section a wide
net was cast to catch a variety of acts of instigation ranging from friendly advice to systematic
propaganda.","Special Powers Act, where the persons
who ""instigated"" expressly or by implication any person or class of persons not to pay or to defer
payment of any liability were punishable.","It was held that in its wide amplitude, the Section takes in the innocent as well as the
guilty, bonafide and malafide advice and whether the person be a legal adviser, a friend or a well
wisher of the person instigated, he cannot escape the tentacles of the Section."
"It was held that in its wide amplitude, the Section takes in the innocent as well as the
guilty, bonafide and malafide advice and whether the person be a legal adviser, a friend or a well
wisher of the person instigated, he cannot escape the tentacles of the Section.","This Court specifically held that under the Section a wide
net was cast to catch a variety of acts of instigation ranging from friendly advice to systematic
propaganda.","The Court held that it
was not possible to predicate with some kind of precision the different categories of instigation
falling within or without the field of constitutional prohibitions."
"It further held that the Section mustShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 40be declared unconstitutional as the offence made out would depend upon factors which are
uncertain.","The Court held that it
was not possible to predicate with some kind of precision the different categories of instigation
falling within or without the field of constitutional prohibitions.",87.
These two Constitution Bench decisions bind us and would apply directly on Section 66A.,"(at page 384)
90.","We,
therefore, hold that the Section is unconstitutional also on the ground that it takes within its sweep
protected speech and speech that is innocent in nature and is liable therefore to be used in such a
way as to have a chilling effect on free speech and would, therefore, have to be struck down on theShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 41ground of overbreadth."
"We,
therefore, hold that the Section is unconstitutional also on the ground that it takes within its sweep
protected speech and speech that is innocent in nature and is liable therefore to be used in such a
way as to have a chilling effect on free speech and would, therefore, have to be struck down on theShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 41ground of overbreadth.",These two Constitution Bench decisions bind us and would apply directly on Section 66A.,"Possibility of an act being abused is not a ground to test its validity:
91."
"The learned Additional Solicitor General cited a large number of judgments on the proposition
that the fact that Section 66A is capable of being abused by the persons who administered it is not a
ground to test its validity if it is otherwise valid.","Possibility of an act being abused is not a ground to test its validity:
91.","He further assured us that this Government was
committed to free speech and that Section 66A would not be used to curb free speech, but would be
used only when excesses are perpetrated by persons on the rights of others."
"He further assured us that this Government was
committed to free speech and that Section 66A would not be used to curb free speech, but would be
used only when excesses are perpetrated by persons on the rights of others.","The learned Additional Solicitor General cited a large number of judgments on the proposition
that the fact that Section 66A is capable of being abused by the persons who administered it is not a
ground to test its validity if it is otherwise valid.","In The Collector of
Customs, Madras v. Nathella Sampathu Chetty & Anr., [1962] 3 S.C.R."
"If Section 66A is otherwise invalid, it cannot be saved
by an assurance from the learned Additional Solicitor General that it will be administered in a
reasonable manner.","In this case, it is the converse proposition which would really apply if the learned Additional
Solicitor General's argument is to be accepted.","Governments may come and Governments may go but Section 66A goes on
forever."
"Governments may come and Governments may go but Section 66A goes on
forever.","If Section 66A is otherwise invalid, it cannot be saved
by an assurance from the learned Additional Solicitor General that it will be administered in a
reasonable manner.","An assurance from the present Government even if carried out faithfully would not bind anyShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 42successor Government."
"It must, therefore, be held that Section 66A must be judged on its own
merits without any reference to how well it may be administered.","An assurance from the present Government even if carried out faithfully would not bind anyShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 42successor Government.","Severability:
93."
"The submission is vague: the learned Additional Solicitor General does not indicate which part
or parts of Section 66A can possibly be saved.",94.,"This Court in Romesh Thappar v. The State of
Madras, [1950] S.C.R."
"594 repelled a contention of severability when it came to the courts enforcing
the fundamental right under Article 19(1)(a) in the following terms:
""It was, however, argued that Section 9(1-A) could not be considered wholly void, as,
under Article 13(1), an existing law inconsistent with a fundamental right is void only
to the extent of the inconsistency and no more.","This Court in Romesh Thappar v. The State of
Madras, [1950] S.C.R.","Insofar as the securing of the public
safety or the maintenance of public order would include the security of the State, the
impugned provision, as applied to the latter purpose, was covered by clause (2) of
Article 19 and must, it was said, be held to be valid."
"It has been held by us that Section 66A purports to authorize the imposition of restrictions on
the fundamental right contained in Article 19(1)(a) in language wide enough to cover restrictions
both within and without the limits of constitutionally permissible legislative action.","(At page 603)
95.","We have held
following K.A."
"Abbas' case (Supra) that the possibility of Section 66A being applied for purposes not
sanctioned by the Constitution cannot be ruled out.","We have held
following K.A.","It must, therefore, be held to be wholly
unconstitutional and void."
"In Romesh Thappar v. State of Madras [ (1950) SCR 594] , the question was as to
the validity of Section 9(1-A) of the Madras Maintenance of Public Order Act, 23 of
1949.","930 in the context of a right under Article 19(1)(g) as follows:Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 43""20.","That section authorised the Provincial Government to prohibit the entry and
circulation within the State of a newspaper ""for the purpose of securing the public
safety or the maintenance of public order."""
"It was held by this Court that as the purposes mentioned in
Section 9(1-A) of the Madras Act were wider in amplitude than those specified in
Article 19(2), and as it was not possible to split up Section 9(1-A) into what was
within and what was without the protection of Article 19(2), the provision must fail in
its entirety.","Subsequent to the enactment of this
statute, the Constitution came into force, and the validity of the impugned provision
depended on whether it was protected by Article 19(2), which saved ""existing law
insofar as it relates to any matter which undermines the security of or tends to
overthrow the State.""","That is really a decision that the impugned provision was on its own
contents inseverable."
"The present is a case where, as has been held
above, Section 66A does not fall within any of the subject matters contained in Article 19(2) and the
possibility of its being applied for purposes outside those subject matters is clear.","In an Article 19(1)(g) challenge, there is no question of a law being applied for
purposes not sanctioned by the Constitution for the simple reason that the eight subject matters of
Article 19(2) are conspicuous by their absence in Article 19(6) which only speaks of reasonable
restrictions in the interests of the general public.","We therefore hold
that no part of Section 66A is severable and the provision as a whole must be declared
unconstitutional."
"We therefore hold
that no part of Section 66A is severable and the provision as a whole must be declared
unconstitutional.","The present is a case where, as has been held
above, Section 66A does not fall within any of the subject matters contained in Article 19(2) and the
possibility of its being applied for purposes outside those subject matters is clear.","Article 14
97."
"Similar offences
which are committed on the internet have a three year maximum sentence under Section 66A as
opposed to defamation which has a two year maximum sentence.","Further, there is no intelligible differentia between
the medium of print, broadcast, and real live speech as opposed to speech on the internet and,
therefore, new categories of criminal offences cannot be made on this ground.","Also, defamation is a
non-cognizable offence whereas under Section 66A the offence is cognizable."
"Also, defamation is a
non-cognizable offence whereas under Section 66A the offence is cognizable.","Similar offences
which are committed on the internet have a three year maximum sentence under Section 66A as
opposed to defamation which has a two year maximum sentence.",98.
"We have already held that Section 66A creates an offence which is vague and overbroad, and,
therefore, unconstitutional under Article 19(1)(a) and not saved by Article 19(2).",98.,"We have also heldShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 44that the wider range of circulation over the internet cannot restrict the content of the right under
Article 19(1)(a) nor can it justify its denial."
"According to the petitioners, Section 66A also
suffers from the vice of procedural unreasonableness.",One other argument must now be considered.,"In that, if, for example, criminal defamation is
alleged, the safeguards available under Section 199 Cr.P.C."
"In that, if, for example, criminal defamation is
alleged, the safeguards available under Section 199 Cr.P.C.","According to the petitioners, Section 66A also
suffers from the vice of procedural unreasonableness.","would not be available for a like offence
committed under Section 66A."
"would not be available for a like offence
committed under Section 66A.","In that, if, for example, criminal defamation is
alleged, the safeguards available under Section 199 Cr.P.C.","Such safeguards are that no court shall take cognizance of such an
offence except upon a complaint made by some person aggrieved by the offence and that such
complaint will have to be made within six months from the date on which the offence is alleged to
have been committed."
"Further, safeguards that are to be found in Sections 95 and 96 of the Cr.P.C.","Such safeguards are that no court shall take cognizance of such an
offence except upon a complaint made by some person aggrieved by the offence and that such
complaint will have to be made within six months from the date on which the offence is alleged to
have been committed.",are also absent when it comes to Section 66A.
are also absent when it comes to Section 66A.,"Further, safeguards that are to be found in Sections 95 and 96 of the Cr.P.C.","For example, where any newspaper book or document
wherever printed appears to contain matter which is obscene, hurts the religious feelings of some
community, is seditious in nature, causes enmity or hatred to a certain section of the public, or is
against national integration, such book, newspaper or document may be seized but under Section 96
any person having any interest in such newspaper, book or document may within two months from
the date of a publication seizing such documents, books or newspapers apply to the High court to set
aside such declaration."
"For example, where any newspaper book or document
wherever printed appears to contain matter which is obscene, hurts the religious feelings of some
community, is seditious in nature, causes enmity or hatred to a certain section of the public, or is
against national integration, such book, newspaper or document may be seized but under Section 96
any person having any interest in such newspaper, book or document may within two months from
the date of a publication seizing such documents, books or newspapers apply to the High court to set
aside such declaration.",are also absent when it comes to Section 66A.,"Such matter is to be heard by a Bench consisting of at least three Judges or
in High Courts which consist of less than three Judges, such special Bench as may be composed of
all the Judges of that High Court."
"It is clear that Sections 95 and 96 of the Criminal Procedure Code reveal a certain degree of
sensitivity to the fundamental right to free speech and expression.",100.,"If matter is to be seized on
specific grounds which are relatable to the subject matters contained in Article 19(2), it would be
open for persons affected by such seizure to get a declaration from a High Court consisting of at
least three Judges that in fact publication of the so-called offensive matter does not in fact relate to
any of the specified subjects contained in Article 19(2)."
"Further, Section 196 of the Cr.P.C.","If matter is to be seized on
specific grounds which are relatable to the subject matters contained in Article 19(2), it would be
open for persons affected by such seizure to get a declaration from a High Court consisting of at
least three Judges that in fact publication of the so-called offensive matter does not in fact relate to
any of the specified subjects contained in Article 19(2).","states:
""196."
"Prosecution for offences against the State and for criminal conspiracy to
commit such offence.- (1) No Court shall take cognizance of-Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 45(a) any offence punishable under Chapter VI or under Section 153-A, [Section 295-A
or sub-section (1) of Section 505] of the Indian Penal Code, 1860 (45 of 1860), or
(b) a criminal conspiracy to commit such offence, or
(c) any such abetment, as is described in Section 108-A of the Indian Penal Code (45
of 1860), except with the previous sanction of the Central Government or of the State
Government.","states:
""196.","[(1-A) No Court shall take cognizance of-
(a) any offence punishable under Section 153-B or sub-section (2) or sub- section (3) of Section 505
of the Indian Penal Code, 1860 (45 of 1860), or
(b) a criminal conspiracy to commit such offence, except with the previous sanction of the Central
Government or of the State Government or of the District Magistrate.]"
"[(1-A) No Court shall take cognizance of-
(a) any offence punishable under Section 153-B or sub-section (2) or sub- section (3) of Section 505
of the Indian Penal Code, 1860 (45 of 1860), or
(b) a criminal conspiracy to commit such offence, except with the previous sanction of the Central
Government or of the State Government or of the District Magistrate.]","Prosecution for offences against the State and for criminal conspiracy to
commit such offence.- (1) No Court shall take cognizance of-Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 45(a) any offence punishable under Chapter VI or under Section 153-A, [Section 295-A
or sub-section (1) of Section 505] of the Indian Penal Code, 1860 (45 of 1860), or
(b) a criminal conspiracy to commit such offence, or
(c) any such abetment, as is described in Section 108-A of the Indian Penal Code (45
of 1860), except with the previous sanction of the Central Government or of the State
Government.","(2) No court shall take
cognizance of the offence of any criminal conspiracy punishable under Section 120-B of the Indian
Penal Code (45 of 1860), other than a criminal conspiracy to commit [an offence] punishable with
death, imprisonment for life or rigorous imprisonment for a term of two years or upwards, unless
the State Government or the District Magistrate has consented in writing to the initiation of the
proceedings:
Provided that where the criminal conspiracy is one to which the provisions of Section
195 apply, no such consent shall be necessary."
"(2) No court shall take
cognizance of the offence of any criminal conspiracy punishable under Section 120-B of the Indian
Penal Code (45 of 1860), other than a criminal conspiracy to commit [an offence] punishable with
death, imprisonment for life or rigorous imprisonment for a term of two years or upwards, unless
the State Government or the District Magistrate has consented in writing to the initiation of the
proceedings:
Provided that where the criminal conspiracy is one to which the provisions of Section
195 apply, no such consent shall be necessary.","[(1-A) No Court shall take cognizance of-
(a) any offence punishable under Section 153-B or sub-section (2) or sub- section (3) of Section 505
of the Indian Penal Code, 1860 (45 of 1860), or
(b) a criminal conspiracy to commit such offence, except with the previous sanction of the Central
Government or of the State Government or of the District Magistrate.]","(3) The Central Government or the State Government may, before according sanction
[under sub-section (1) or sub-section (1-A) and the District Magistrate may, before
according sanction under sub-section (1-A)] and the State Government or the District
Magistrate may, before giving consent under sub-section (2), order a preliminary
investigation by a police officer not being below the rank of Inspector, in which case
such police officer shall have the powers referred to in sub-section (3) of Section
155."""
"(3) The Central Government or the State Government may, before according sanction
[under sub-section (1) or sub-section (1-A) and the District Magistrate may, before
according sanction under sub-section (1-A)] and the State Government or the District
Magistrate may, before giving consent under sub-section (2), order a preliminary
investigation by a police officer not being below the rank of Inspector, in which case
such police officer shall have the powers referred to in sub-section (3) of Section
155.""","(2) No court shall take
cognizance of the offence of any criminal conspiracy punishable under Section 120-B of the Indian
Penal Code (45 of 1860), other than a criminal conspiracy to commit [an offence] punishable with
death, imprisonment for life or rigorous imprisonment for a term of two years or upwards, unless
the State Government or the District Magistrate has consented in writing to the initiation of the
proceedings:
Provided that where the criminal conspiracy is one to which the provisions of Section
195 apply, no such consent shall be necessary.",101.
"This procedural safeguard does not apply even when a similar offence may be
committed over the internet where a person is booked under Section 66A instead of the aforesaid
Sections.","or offences relatable to deliberate and malicious acts intending to outrage religious
feelings or statements that create or promote enmity, hatred or ill-will between classes can only be
taken cognizance of by courts with the previous sanction of the Central Government or the State
Government.","Having struck down Section 66A on substantive grounds, we need not decide the procedural
unreasonableness aspect of the Section.Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 46Section 118 of the Kerala Police Act."
"Having struck down Section 66A on substantive grounds, we need not decide the procedural
unreasonableness aspect of the Section.Shreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 46Section 118 of the Kerala Police Act.","This procedural safeguard does not apply even when a similar offence may be
committed over the internet where a person is booked under Section 66A instead of the aforesaid
Sections.",102.
"196 of 2014 assailed sub-section (d) of
Section 118 which is set out hereinbelow:
""118.",Learned counsel for the Petitioner in Writ Petition No.,"Penalty for causing grave violation of public order or danger.- Any person who,-
(d) Causes annoyance to any person in an indecent manner by statements or verbal
or comments or telephone calls or calls of any type or by chasing or sending messages
or mails by any means;
shall, on conviction be punishable with imprisonment for a term which may extend to three years or
with fine not exceeding ten thousand rupees or with both."""
"Learned counsel first assailed the Section on the ground of legislative competence stating that
this being a Kerala Act, it would fall outside Entries1 and 2 of List II and fall within Entry 31 of List I.",103.,"In order to appreciate the argument we set out the relevant entries:
""List - I
31."
"In addition, Section
118 would also fall within Entry 1 of List II in that as its marginal note tells us it deals with penalties
for causing grave violation of public order or danger.",The Kerala Police Act as a whole would necessarily fall under Entry 2 of List II.,104.
"It is, therefore, clear that the Kerala Police Act as a whole and Section 118 as part thereof falls in
pith and substance within Entry 2 List II, notwithstanding any incidental encroachment that it may
have made on any other Entry in List I.","(at page 410)
105.","Even otherwise, the penalty created for causing annoyance
in an indecent manner in pith and substance would fall within Entry 1 List III which speaks of
criminal law and would thus be within the competence of the State Legislature in any case."
"However, what has been said about Section 66A would apply directly to Section 118(d) of the
Kerala Police Act, as causing annoyance in an indecent manner suffers from the same type of
vagueness and over breadth, that led to the invalidity of Section 66A, and for the reasons given for
striking down Section 66A, Section 118(d) also violates Article 19(1)(a) and not being a reasonable
restriction on the said right and not being saved under any of the subject matters contained in
Article 19(2) is hereby declared to be unconstitutional.",106.,"Section 69A and the Information Technology (Procedure and Safeguards for Blocking for Access of
Information by Public) Rules, 2009."
"Section 69A and the Information Technology (Procedure and Safeguards for Blocking for Access of
Information by Public) Rules, 2009.","However, what has been said about Section 66A would apply directly to Section 118(d) of the
Kerala Police Act, as causing annoyance in an indecent manner suffers from the same type of
vagueness and over breadth, that led to the invalidity of Section 66A, and for the reasons given for
striking down Section 66A, Section 118(d) also violates Article 19(1)(a) and not being a reasonable
restriction on the said right and not being saved under any of the subject matters contained in
Article 19(2) is hereby declared to be unconstitutional.",107.
"Section 69A of the Information Technology Act has already been set out in paragraph 2 of the
judgment.",107.,"Under sub-section (2) thereof, the 2009 Rules have been framed."
