Sentence,Previous,Next
"Ashok Srivastava and Ashok Panda also pointed out in the Report that theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 37following persons working in the Godhokhor stone quarries claimed that they were bonded
labourers:
(1) Chand Bahadur son of Hastbir (2) Lal Bahadur son of Umbar Bahadur (3)
Chhotey Lal son of Jarau (4) Harak Bahadur son of Jeet Bahadur (5) Gopal Bahadur
son of Jhabu Singh (6) Roop Singh son of Govinda (7) Medh Bahadur son of Aspteir
(8) Jiddey Bahadur son of Nunbahadur (9) Phool Bahadur son of Ram Bahadur (10)
Heera Bahadur son of Balbahadur (11) Veer Bahadur son of Chhalvir (12) Nain Singh
son of Lal Bahadur (13) Lal Bahadur son of Gang Bahadur (14) Ganesh son of Gang
Bahadur (15) Amber Bahadur son of Sadhu Bahadur (16) Hira Lal son of Atbahadur
(17) Kamar Bahadur (18) Jagadh Bahadur son of Top Bahadur (19) Gajender Bahadur
son of Shyam Lal (20) Ganga Ram son of Lal Bahadur (21) Nar Bahadur and (22)
Sant Bahadur son of Bhag Bahadur.",M/s.,"So far as the workers working in Lakkarpur stone quarries were concerned, the report of M/s."
"The Court also appointed Dr. Patwardhan of Indian Institute of Technology to carry out a socio-legal
investigation in the following terms:
""It is necessary that a socio-legal investigation should be carried out for the purpose
of determining what are the conditions prevailing in the various quarries in
Faridabad District and whether there are any workmen in those quarries against their
will or without their consent and what are the conditions in which they are living and
whether any of the provisions of the Bonded Labour System (Abolition) Act andBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 38Inter- State Migrant Workmen (Regulation of Employment & Conditions of Service)
Act is being violated.","Ashok Srivastava and Ashok Panda
should be supplied to all the minelesses and stone crushers who are respondents to the writ
petitions so that they may have an opportunity to file their reply to the facts found in the Report.","We may make it clear that when we are directing a socio-legal
investigation of these matters it is not in a spirit to criticise the State Government or
any of its officers but with a view to find out the correctness of the state of affairs so
that the State Government and its officers could take necessary steps for remedying
the situation if a state of affairs exists which is contrary to the provisions of law and
the basic human norms."
"We shall have occasion to refer to this Report a little
latter when we deal with the arguments advanced on behalf of the parties, but we may point out atBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 39this stage that the report of Dr. Patwardhan a comprehensive, well documented socio- legal study of
the conditions in which the workmen engaged in stone quarries and stone crushers live and work
and it has made various constructive suggestions and recommendations for the purpose of
improving the living conditions of these workmen.","It took
some time for Dr. Patwardhan to complete his assignment and prepare his report but having regard
to the immensity of the task, the time within which Dr. Patwardan finished the inquiry and
submitted his report was remarkably short.","We are indeed grateful to Dr. Patwardhan for
carrying out this massive assignment so efficiently and in such a short time."
"We should have thought that if
any citizen brings before the Court a complaint that a large number of peasants or workers are
bonded serfs or are being subjected to exploitation by a few mine lessees or contractors or
employers or are being denied the benefits of social welfare laws, the State Government, which is,
under our constitutional scheme, charged with the mission of bringing about a new socioeconomic
order where there will be social and economic justice for every one and equality of status andBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 40opportunity for all, would welcome an inquiry by the court, so that if it is found that there are in fact
bonded labourers or even if the workers are not bonded in the strict sense of the term as defined in
the Bonded Labour System (Abolition) Act 1976 but they are made to provide forced labour or are
consigned to a life of utter deprivation and degradation such a situation can be set right by the State
Government.","We can appreciate the anxiety of
the mine lessees to resist the writ petition on any ground available to them, be it hyper-technical or
even frivolous, but we find it incomprehensible that the State Government should urge such a
preliminary objection with a view to stifling at the thresh-hold an inquiry by the Court as to whether
the workmen are living in bondage and under inhuman conditions.","Even if the State Government is on its own inquiry satisfied that the workmen are not
bonded and are not compelled to provide forced labour and are living and working in decent
conditions with all the basic necessities of life provided to them, the State Government should not
baulk an inquiry by the court when a complaint is brought by a citizen, but it should be anxious to
satisfy the court and through the court the people of the country, that it is discharging its
constitutional obligation fairly and adequately and the workmen are being ensured social and
economic justice."
"These are the minimum requirements which must exist in
order to enable a person to live with human dignity and no State neither the Central Government
nor any State Government-has the right to take any action which will deprive a person of theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 41enjoyment of these basic essentials.","This right to live with
human dignity, enshrined in Article 21 derives its life breath from the Directive Principles of State
Policy and particularly clauses (e) and (f) of Article 39 and Article 41 and 42 and at the least,
therefore, it must include protection of the health and strength of workers men and women, and of
the tender age of children against abuse, opportunities and facilities for children to develop in
healthy manner and in conditions of freedom and dignity, educational facilities, just and humane
conditions of work and maternity relief.","Since the Directive Principles of State Policy contained in
clauses (e) and (f) of Article 39, Article 41 and 42 are not enforceable in a court of law, it may not be
possible to compel the State through the judicial process to make provision by statutory enactment
or executive fiat for ensuring these basic essentials which go to make up a life of human dignity but
where legislation is already enacted by the State providing these basic requirements to the workmen
and thus investing their right to live with basic human dignity, with concrete reality and content, the
State can certainly be obligated to ensure observance of such legislation for inaction on the part of
the State in securing implementation of such legislation would amount to denial of the right to live
with human dignity enshrined in Article 21, more so in the context of Article 256 which provides
that, the executive power of every State shall be so exercised as to ensure compliance with the laws
made by Parliament and any existing laws which apply in that State."
"We are so
much accustomed to the concepts of Anglo-Saxon jurisprudence which require every legalBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 42proceeding including a proceeding for a high prerogative writ to be cast in a rigid or definitive mould
and insist on observance of certain well settled rules of procedure, that we implicitly assume that the
same sophisticated procedural rules must also govern a proceeding under Article 32 and the
Supreme Court cannot permit itself to be freed from the shackles of these rules even if that be
necessary for enforcement of a fundamental right.","Article 32 is so frequently used by lawyers and
Judges for enforcement of fundamental rights without any preliminary objection against its
invocation being raised on behalf of the State, that we have rarely any occasion to examine its
language and consider how large is the width and amplitude of its dimension and range.","It was on the basis of this impression fostered by
long association which the Anglo-Saxon system of administration of justice that for a number of
years this court had taken the view that it is only a person whose fundamental right is violated who
can approach the Supreme Court for relief under Article 32 or in other words, he must have a cause
of action for enforcement of his fundamental right."
"It is
clear on the plain language of clause (1) of Article 32 that whenever there is aBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 43violation of a fundamental right any one can move the Supreme Court for
enforcement of such fundamental right.","There is no limitation in the words of Clause (1) of Article 32 that the
fundamental right which is sought to be enforced by moving the Supreme Court
should be one belonging to the person who moves the Supreme Court nor does it say
that the Supreme Court should be moved only by a particular kind of proceeding.","Of course, the Court would not, in exercise of
its discretion, intervene at the instance of a meddlesome interloper or busy body and
would ordinarily insist that only a person whose fundamental right is violated should
be allowed to activise the court, but there is no fetter upon the power of the court to
entertain a proceeding initiated by any person other than the one whose fundamental
right is violated, though the court would not ordinarily entertain such a proceeding,
since the person whose fundamental right is violated can always approach the court
and if he does not wish to seek judicial redress by moving the court, why should some
one else be allowed to do so on his behalf."
"That is the reason
why it was held by this Court in the Judges Appointment and Transfer Case (supra) that where a
member of the public acting bona fide moves the Court for enforcement of a fundamental right on
behalf of a person or class of persons who on account of poverty or disability or socially or
economically disadvantaged position cannot approach the court for relief, such member of the
public may move the court even by just writing a letter, because it would not be right or fair to
expect a person acting pro bono publico to incur expenses out of his own pocket for going to a
lawyer and preparing a regular writ petition for being filed in court for enforcement of the
fundamental right of the poor and deprived sections of the community and in such a case, a letterBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 44addressed by him can legitimately be regarded as an ""appropriate"" proceeding.","The Constitution makers therefore advisedly provided in clause (1) of Article 32 that the
Supreme Court may be moved by any 'appropriate' proceeding, 'appropriate' not in terms of any
particular form but 'appropriate' with reference to the purpose of the proceeding.","But the question then arises as to what is the power which may be exercised by the Supreme Court
when it is moved by an ""appropriate"" proceeding for enforcement of a fundamental right."
"It is only because we have beenBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 45following the adversarial procedure for over a century owing to the introduction of the Anglo-Saxon
system of jurisprudence under the British Rule that it has become a part of our conscious as well as
sub-conscious thinking that every judicial proceeding must be cast in the mould of adversarial
procedure and that justice cannot be done unless the adversarial procedure is adopted.","In fact, there is no such constitutional compulsion enacted in
clause (2) of Article 32 or in any other part of the Constitution.","But it may be
noted that there is nothing sacrosanct about the adversarial procedure and in fact it is not followed
in many other countries where the civil system of law prevails."
"It is
true that the adoption of this non-traditional approach is not likely to find easy acceptance from theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 46generality of lawyers because their minds are conditioned by constant association with the existing
system of administration of justice which has become ingrained in them as a result of long years of
familiarity and experience and become part of their mental make up and habit and they would
therefore always have an unconscious predilection for the prevailing system of administration of
justice.","And this is clearly permissible on the language of clause
(2) of Article 32 because the Constitution makers while enacting that clause have deliberately and
advisedly not used any words restricting the power of the court to adopt any procedure which it
considers appropriate in the circumstances of a given case for enforcing a fundamental right.","But if we want the fundamental rights to become a living reality and the Supreme Court to
become a real sentinel on the quivive, we must free ourselves from the shackles of outdated and
outmoded assumptions and bring to bear on the subject fresh outlook and original unconventional
thinking."
"The learned Additional Solicitor General and Mr. Phadke relied on Order XXVI of the
Code of Civil Procedure and Order XLVI of the Supreme Court Rules 1966 for the purpose of
contending that a commission can be appointed by the Supreme Court only for the purpose of
examining witnesses, making legal investigations and examining accounts and the Supreme CourtBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 47has no power to appoint a commission for making an inquiry or investigation into facts relating to a
complaint of violation of a fundamental right in a proceeding under Article 32.","To accept this contention would be to
introduce the adversarial procedure in a proceeding where in the given situation, it is totally
inapposite.","Now it is true that
Order XLVI of the Supreme Court Rules 1966 makes the provisions of Order XXVI of the Code of
Civil Procedure, except rules 13, 14, 19, 20, 21 and 22 applicable to the Supreme Court and days
down the procedure for an application for issue of a commission, but Order XXVI is not exhaustive
and does not detract from the inherent power of the Supreme Court to appoint a commission, if the
appointment of such commission is found necessary for the purpose of securing enforcement of a
fundamental right in exercise of its constitutional jurisdiction under Article 32."
"Section 2(j) defines ""mine""
to mean ""any excavation where any operation for the purpose of searching for or obtaining mineralsBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 48has been or is being carried on and includes in clause (iv) ""all open cast working"".","This Act extends to the
whole of India and therefore applies a fortiorari in the State of Haryana.","The word
""minerals"" has been given a very broad meaning under section 2(jj) and it means ""all substances
which can obtained from the earth by mining, digging, drilling, dredging, hydraulicing, quarrying or
by any other operation""."
"Since the workings in these stone quarries extend below superjacent ground and they are not `open
cast workings' and moreover explosives are admittedly used in connection with the excavation, the
conditions set out in the proviso are not fulfilled and hence the exclusion of the provisions of theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 49Mines Act 1952 (other than the excepted sections) is not attracted and all the provisions of the
Mines Act 1952 apply to these stone quarries.","3(1)(b)
which is very material and it runs as follows :
""3(1) The provisions of this Act, except those contained in sections 7, 8, 9, 44, 45 and
46, shall not apply to-
(b) any mine engaged in the extraction of kankar, murrum, laterite, boulder, gravel,
shingle, ordinary sand (excluding moulding sand, glass sand and other mineral
sands), ordinary clay (excluding kaolin, china clay, white clay or fire clay), building
stone, road metal earth, fullers earth and lime stone :
Provided that-
(i) the workings do not extend below superjacent ground; or
(ii) where it is an open cast working-
(a) the depth of the excavation measured from its highest to its lowest point nowhere
exceeds six metres;
(b) the number of persons employed on any one day does not exceed fifty; and
(c) explosives are not used in connection with the excavation.""","It may also be noted that the definition of `mine' in
section 2(j) includes in Clause (x) any premises or part thereof in or adjacent and belonging to a
mine on which any process ancillary to the getting, dressing or preparation for sale of
minerals...........is being carried on."""
"The Central Government is entrusted under the Mines Act 1952 with the responsibility of
securing compliance with the provisions of that Act and of the Mines Rules 1955 and other Rules
and Regulations made under that Act and it is the primary obligation of the Central Government toBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 50ensure that these provisions are complied with by the mine-lessees and stone crusher owners.","The
mine-lessees and owners of stone crushers are, therefore liable under section 18 of the Mines Act,
1952 to carry out their operations in accordance with the provisions of the Mines Act, 1952 and the
Mines Rules, 1955 and other Rules and Regulations made under that Act and to ensure that the
rights and benefits conferred by these provisions are actually and concretely made available to the
workmen.","The
State of Haryana is also, for reasons which we have already discussed, under an obligation to take all
necessary steps for the purpose of securing compliance with these provisions by the mine-lessees
and owners of stone crushers."
"Clause (e) of sub-section (1) of Section (2) defines
""inter-State migrant workmen"" to means ""any person who is recruited by or through a contractor in
one State under an agreement or other arrangement for employment in an establishment in another
State, whether with or without the knowledge of the principal employer in relation to suchBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 51establishment.""","Section (2) sub- section
(1) Clause (b) of the Act defines contractor, in relation to an establishment, to mean ""a person who
undertakes (whether as an independent contractor, agent, employee or otherwise) to produce a
given result for the establishment, other than a mere supply of goods and articles of manufacture of
such establishment, by the employment of workmen or to supply workmen to the establishment,
and includes a sub-contractor, khatedar, sardar, agent or any other person, by whatever name
called, who recruits or employs workmen.""","The expression ""principal- employer"" is defined by clause (g) of sub-section (1) of
Section 2 to mean ""in relation to a mine, the owner or agent of the mine and where a person has
been named as the manager of the mine, the person so named."""
"Section 16 days a duty on every contractor
employing inter- State migrant workmen in connection with the work of an establishment to provideBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 52various other facilities particulars of which are to be found in Rules 36 to 45 of the Inter-State
Migrant Workmen Rules.","There is also a provision made in Section 15 for
payment to an inter-State migrant workman of a journey allowance of a sum not less than the fare
from the place of residence in his State to the place of work in the other State, both for outward and
return journeys and this Section also enacts that the workman shall be entitled to payment of wages
during the period of such journeys as if he was on duty.","These facilities include medical facilities, protective clothing, drinking
water, latrines, urinals and washing facilities, rest rooms, canteens, creche and residential
accommodation."
"The thekedar or jamadar who is engaged byBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 53the mine lessees or the stone-crusher owners to recruit workmen or employ them on behalf of the
mine lessees or stone crusher owners would clearly be a 'contractor' within the meaning of that term
as defined in Section 2 sub-section (1) clause (b) and the workmen recruited by or through him from
other States for employment in the stone quarries and stone crushers in the State of Haryana would
undoubtedly be inter- State migrant workmen.","Now if what has been reported by Dr.
Patwardhan is true, there can be no doubt that the workmen employed in the stone quarries and
stone crushers would be inter-State migrant workmen.","Even when the thekedar or jamadar recruits or
employs workmen for the stone quarries and stone crushers by sending word through the ""old
hands"", the workmen so recruited or employed would be inter-State migrant workmen, because the
""old hands"" would be really acting as agents of the thekedar or jamadar for the purpose of recruiting
or employing workmen."
"Provisions Act, 1952, and the MaternityBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 54Benefit Act 1961.","The
Payment of Wages Act 1936, The Employees' State Insurance Act 1948, The
Employees' Provident Funds and Misc.","The obligation to give effect to the provisions contained in these
various laws is not only that of the jamadar or thekedar and the mine-lessees and
stone crusher owners (provided of course there are 5 or more inter-State migrant
workmen employed in the establishment) but also that of the Central Government
because the Central Government being the appropriate Government"" within the
meaning of Section 2(1)(a) is under an obligation to take necessary steps for the
purpose of securing compliance with these provisions by the thekedar or jamadar and
mine-lessees and owners of stone crushers."
"Now if the jamadar or thekedar in a stone quarry or stone crusher is a 'contractor' within
the meaning of the definition of that term in the Inter-State Migrant Workmen Act, he would a
fortiorari be a 'contractor' also for the purpose of Contract Labour Act and any workmen hired in orBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 55in connection with the work of a stone quarry or stone crusher by or through the jamadar or
thekedar would be workmen entitled to the benefit of the provisions of the Contract Labour Act.","Every contractor is made responsible
under-section 21 for payment of wages to each worker employed by him as contract labour and such
wages are to be disbursed in the presence of a representative duly authorised by the principal
employer.","There are elaborate Rules made under the Contract Labour Act called the Contract Labour
(Regulation and Abolition) Central Rules 1971 (hereinafter referred to as the Contract Labour Rules)
and these Rules not only deal with the procedure for application and grant of registration to a
principal employer and licence to a contractor, but also particularise the details of the various
welfare and other facilities directed to be provided to the contract labour by Section 16, 17, 18 and 19
of the Contract Labour Act."
"We are not in a position at the present stage to
give a definite finding that what is stated in the Report of Dr. Patwardhan is true, but there can be
no doubt that whatever be the mode of payment followed by the mine lessees and stone crusher
owners, the workmen must get nothing less than the minimum wage for the job which is beingBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 56carried out by them and if they are required to carry out additionally any of the functions pertaining
to another job or occupation for which a separate minimum wage is prescribed, they must be paid a
proportionate part of such minimum wage in addition to the minimum wage payable to them for the
work primarily carried out by them.","It is also stated in the Report of Dr. Patwardhan that the workmen
employed in the stone quarries not only quarry the stone but also carry out the work of a shot firer
and a stone breaker, though the work of a shot firer cannot be done by them without proper training
as provided in the Mines Vocational Training Rules 1966 and for this work of a shot firer and a stone
breaker carried cut by them, they do not get the minimum wage stipulated for the occupation of a
shot firer or a stone breaker and moreover since they are piece-rated workers, their output falls
because of the other jobs they are required to carry out with the result that they are deprived of the
minimum wage which they should otherwise receive.","We would also suggest that the system of payment which is
being followed in the stone quarries and stone crushers, under which the expenses of the explosives
and of drilling holes are to be borne by the workmen out of their own wages, should be changed and
the explosives required for carrying out blasting should be supplied by the mine lessees or the
jamadar or thekedar without any deduction being made out of the wages of the workmen and the
work of drilling holes and shot firing should be entrusted only to those who have received the
requisite training under the Mines Vocational Training Rules 1966."
"Clause (g) defines ""bonded labour system"" to
mean:
""the system of forced, or partly forced, labour under which a debtor enters, or has, or
is presumed to have, entered, into an agreement with the creditor to the effect that,-
(i) in consideration of an advance obtained by him or by any of his lineal ascendants
or descendants (whether or not such advance is evidenced by any document) and in
consideration of the interest, if any, due on such advance, orBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 57(ii) in pursuance of any customary or social obligation, or
(iii) for any economic consideration received by him or by any of his lineal
ascendants or descendants, or he would-
(1) render, by himself or through any member of his family, or any person dependent
on him, labour or service to the creditor, or for the benefit of the creditor, for a
specified period or for an unspecified period, either without wages or for nominal
wages, or (2) forfeit the freedom of employment or other means of livelihood for a
specified period or for an unspecified period, (3) forfeit the right to move freely
throughout the territory of India, or (4) forfeit the right to appropriate or sell at
market value any of his property or product of his labour or the labour of a member
of his family or any person dependent on him.""","The expression 'bonded labourer' is defined in clause (f) to mean ""a labourer who incurs, or
has, or is presumed to have incurred a bonded debt"".","The expression ""nominal wages"" is defined in clause (i) of Section 2 to mean, in relation to any
labour, a wage which is less than-
(a) the minimum wages fixed by the Government, in relation to the same or similar labour, under
any law for the time being in force, and
(b) where no such wage has been fixed in relation to any form of labour, the wages that are normally
paid, for the same or similar labour to the labourers working in the same locality."""
"Section 6 provides inter alia that on the
commencement of the Act, every obligation of a bonded labourer to repay and bonded debt or such
part of any bonded debt as remains unsatisfied immediately before such commencement, shall be
deemed to have been extinguished.Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 58There are certain other consequential provisions in Section 7 to 9 but it is not necessary to refer to
them.","Section 5 invalidates any custom or tradition or any contract agreement or other instrument by
virtue of which any person or any member of the family or dependent of such person is required to
do any work or render any service as a bonded labourer.","Sections 10 to 12 impose a duty on every District Magistrate and every officer to whom power
may be delegated by him, to inquire whether, after the commencement of the Act, any bonded
labour system or any other form of forced labour is being enforced by or on behalf of, any person
resident within the local limits of his jurisdiction and if, as a result of such inquiry, any person is
found to be enforcing the bonded labour system or any other system of forced labour, he is required
forthwith to take the necessary action to eradicate the enforcement of such forced labour."
"It was not enough, contended
the learned Additional Solicitor General the petitioner merely to show that the workmen wereBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 59providing forced labour in that they were not allowed to leave the premises of the establishment, but
it was further necessary to show that they were working under the bonded labour system.","It was contended by the learned Additional Solicitor General on behalf of the State of Haryana that
in the stone quarries and stone crushers there might be forced labourers but they were not bonded
labourers within the meaning of that expression as used in the Act, since a labourer would be a
bonded labourer only if he has or is presumed to have incurred a bonded debt and there was nothing
in the present case to show that the workmen employed in the stone quarries and stone crushers
had incurred or could be presumed to have incurred any bonded debt.","The
learned Additional Solicitor General also submitted that in any event, even if the workmen filed
affidavits to the effect that they had taken advances from thekedar or jamadar and or mine lessees
and/or stone crusher owners and they were not allowed to leave the premises of the establishment
until the advances were paid of, that would not be enough evidence for the Court to hold that they
were bonded labourers, because the mine-lessees and stone crusher owners had no opportunity to
cross-examine the workmen making such affidavits."
"Now if this contention of the learned Additional Solicitor General were well-founded, it
would become almost impossible to enforce the provisions of the Bonded Labour System (Abolition)
Act 1976 because in every case where bonded labourers are sought to be identified for the purpose of
release and rehabilitation under the provisions of the Act, the State Authorities as also the employer
would be entitled to insist that the bonded labourers must first prove that they are providing forced
labour in consideration of an advance or other economic consideration received by them and then
only they would be eligible of the benefits provided under the Act and this would make it extremely
difficult, if not impossible, for the labourers to establish that they are bonded labourers because they
would have no evidence at all to prove that any advance or economic consideration was provided to
them by the employer and since employment of bonded labourers is a penal offence under the ActBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 60the employer would immediately, without any hesitation, disown having given any advance or
economic consideration to the bonded labourers.","It was on the basis of this
definitional requirement that the learned Additional Solicitor General on behalf of the State of
Haryana put forward the argument that even if the workmen employed in the stone quarries and
stone crushers were being compelled to provide forced labour, they were not bonded labourers,
since it as not shown by them or by the petitioner that they were doing so in consideration of an
advance or other economic consideration received from the mine-lessees and owners of stone
crushers.","It is indeed difficult to understand how the State
Government which is constitutionally mandated to bring about change in the life conditions of the
poor and the down-trodden and to ensure social justice to them, could possibly take up the stand
that the labourers must prove that they are made to provide forced labour in consideration of an
advance or other economic consideration received from the employer and are therefore bonded
labourers."
"We would therefore direct the Government of Haryana and also suggest to the other
State Governments, to take steps to sensitise the officers concerned with the implementation of theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 61Act to this acute human problems and its socioeconomic parameters.","It is therefore necessary to impress upon the
administration that it does not help to ostrich-like bury its head in the sand and ignore the
prevalence of bonded labour, for it is not the existence of bonded labour that is a slur on the
administration but its failure to eradicate it and moreover not taking the necessary steps for the
purpose of wiping out this blot on the fair name of the State is a breach of its constitutional
obligation.","Moreover it may be noted that
the District Magistrates have a central role to play under the provisions of the Act and the State
Governments would therefore do well to instruct the District Magistrates to take up the work of
identification of bonded labour as one of their top priority tasks."
"Ministry of Labour, Government of India to
the various States Governments:
(i) Psychological rehabilitation must go side by side with physical and economic
rehabilitation;Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 62(ii) The physical and economic rehabilitation has 15 major components namely
allotment of house-sites and agricultural land, land development, provision of low
cost dwelling units, agriculture, provision of credit, horticulture, animal husbandry,
training for acquiring new skills and developing existing skills, promoting traditional
arts and crafts, provision of wage employment and enforcement of minimum wages,
collection and processing of minor forest produce, health medical care and sanitation
supply of essential commodities, education of children of bonded labourers and
protection civil rights;
(iii) There is scope for bringing about an integration among the various central and
centrally sponsored schemes and the on-going schemes of the State Governments for
a more qualitative rehabilitation.","It may be pointed out that
the concept of rehabilitation has the following four main features as admirably set out in the letter
dated 2nd September 1982 addressed by the Secretary.",The essence of such integration is to avoid duplication i.e.
"But at the same
time, we do not think that it would be right for us on the basis of this material to come to a definiteBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 63finding that these workers whose names are given in the Report of M/s Ashok Srivastava and Ashok
Panda or who have filed affidavits are providing forced labour or are bonded labourers.","We cannot ignore this material which has
been placed before us and unquestioningly accept the statement made on behalf of the State of
Haryana that there is no bonded labour in the stone quarries and stone crushers.","It is
necessary to direct a further inquiry for the purpose of ascertaining whether any of the labourers
working in the stone quarries and stone crushers in Faridabad District are bonded labourers in the
light of the law laid down by us in this judgment."
"Even ifBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 64payment of wages is made to the workmen on truck basis, a formula would have to be evolved by the
Central Government and the State of Haryana to ensure that the workmen receive no less than the
minimum wage and to facilitate this formula it would have to be provided that the expenses on
explosives and drilling holes shall be borne by the mine-lessees and or the jamadar or thekedar and
the work of drilling holes and shot firing shall be entrusted only to those who have received requisite
training under the Mines Vocational Training Rules 1966.","It may not be a matter
of any consequence as to which mode of payment is followed, whether the workmen are paid on
truck basis or on any other basis, but what is essential is and that is what the Minimum Wages Act
1948 requires that the workmen must not receive any wage less than the minimum wage.","We would direct the Central Government
and the State of Haryana to take the necessary steps in this behalf so that within the shortest
possible time and as far as possible within six weeks from today the workmen start actually receiving
in their hands a wage not less than the minimum wage."
"We have fortunately in our country the
Central Board of Workers Education which is entrusted with the function of educating workers in
their rights and entitlements and we would therefore direct the Central Board of Workers EducationBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 65to organise periodic camps near the sites of stone quarries and stone crushers in Faridabad District
for the purpose of creating awareness amongst the workmen about the rights and benefits conferred
upon them by social welfare laws.","The knowledge of their rights and entitlements will give them
the strength to fight against their employers for securing their legitimate dues and it will go a long
way towards reducing, if not eliminating, their exploitation.","This educational campaign shall be taken up by the Central Board
of Workers Education as early as possible and the progress made shall be reported to this Court by
the Central Board of Workers Education from time to time, at least once in three months."
"We may make it clear that this inquiry by Shri Laxmi Dhar
Misra is not directed for the purpose of fastening any liability on the mine-lessees and stone crusher
owners or the jamadars and thekedars proprio vigore on the basis of such report, but merely for the
purpose of considering whether a prima facie case exists on the basis of which action can be initiated
by the Central Government, in which the mine- lessees and stone crusher owners and/or the
jamadars or thekedars would have an opportunity of contesting the allegation that the Contract
Labour Act and/or the Inter- State Migrant Workmen Act applies to their stone quarry or stone
crusher and defending such action.Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 66We may now take up a few specific complaints urged on behalf of the workmen.","If Shri Laxmi Dhar Misra finds as a result of his inquiry that the Contract Labour Act
and/or the Inter-State Migrant Workmen Act is applicable, he will make a report to that effect to the
Court on or before 15th February 1984.","The first complaint
relates to the failure to provide pure drinking water to the workmen in most of the stone quarries
and stone crushers."
