Sentence,Previous,Next
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 11Primary contention is that the pensioners of the Central Government form a class for purpose of
pensionary benefits and there could not be mini-classification within the class designated as
pensioners.",14.D.S.,"The expression 'pensioner' is generally understood in contra-distinction to the one in
service."
"The expression 'pensioner' is generally understood in contra-distinction to the one in
service.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 11Primary contention is that the pensioners of the Central Government form a class for purpose of
pensionary benefits and there could not be mini-classification within the class designated as
pensioners.","Government servants in service, in other words, those who have not retired, are entitled to
salary and other allowances."
"Those who retire and are designated as 'pensioners' are entitled to
receive pension under the relevant rules.","Government servants in service, in other words, those who have not retired, are entitled to
salary and other allowances.","Therefore, this would clearly indicate that those who
render service and retire on superannuation or any other mode of retirement and are in receipt of
pension are comprehended in the expression 'pensioners'."
"Therefore, this would clearly indicate that those who
render service and retire on superannuation or any other mode of retirement and are in receipt of
pension are comprehended in the expression 'pensioners'.","Those who retire and are designated as 'pensioners' are entitled to
receive pension under the relevant rules.","Is this class of pensioners further divisible for the purpose of 'entitlement' and 'payment' of pension
into those who retired by certain date and those who retired after that date ?"
"Is this class of pensioners further divisible for the purpose of 'entitlement' and 'payment' of pension
into those who retired by certain date and those who retired after that date ?","Therefore, this would clearly indicate that those who
render service and retire on superannuation or any other mode of retirement and are in receipt of
pension are comprehended in the expression 'pensioners'.","If date of retirement
can be accepted as a valid criterion for classification, on retirement each individual government
servant would form a class by himself because the date of retirement of each is correlated to his
birth date and on attaining a certain age he had to retire."
"The basic contention as hereinbefore noticed is that the pensioners for the purpose of
receiving pension form a class and there is no criterion on which classification of
pensioners retiring prior to specified date and retiring subsequent to that date can
provide a rational principle correlated to object, viz., object underlying payment of
pensions.","(1) when at page 1034, the Court observed that a
discriminatory action of the Government is liable to be struck down, unless it can be
shown by the Government that the departure was not arbitrary, but was based on
some valid principle which in itself was not irrational, unreasonable or
discriminatory.","In reply to this contention set out in para 19 of the petition, Mr. S.N."
"Mathur, Director, Ministry of Finance in part 17 of his affidavit-in-opposition on
behalf of the respondents has averred as under:
""The contentions in part 18 and 19 that all pensioners form one class is not correct
and the petitioners have not shown how they form one class.","In reply to this contention set out in para 19 of the petition, Mr. S.N.","Classification of
pensioners on the basis of their date of retirement is a valid classification for the
purpose of pensionary benefits."""
"Classification of
pensioners on the basis of their date of retirement is a valid classification for the
purpose of pensionary benefits.""","Mathur, Director, Ministry of Finance in part 17 of his affidavit-in-opposition on
behalf of the respondents has averred as under:
""The contentions in part 18 and 19 that all pensioners form one class is not correct
and the petitioners have not shown how they form one class.","These averments would show at a glance that the State action is sought to be sustained on the
doctrine of classification and the criterion on which the classification is sought to be sustained is the
date of retirement of the Government servant which entitled him to pension."
"These averments would show at a glance that the State action is sought to be sustained on the
doctrine of classification and the criterion on which the classification is sought to be sustained is the
date of retirement of the Government servant which entitled him to pension.","Classification of
pensioners on the basis of their date of retirement is a valid classification for the
purpose of pensionary benefits.""",Thus according to theD.S.
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 15respondents, pensioners who retire from Central Government service and are governed by the
relevant pension rules all do not form a class but pensioners who retire prior to a certain date and
those who retire subsequent to a certain date form distinct and separate classes.",Thus according to theD.S.,"It may be made
clear that the date of retirement of each individual pensioner is not suggested as a criterion for
classification as that would lead to an absurd result, because in that event every pensioner relevant
to his date of retirement will form a class unto himself."
"It may be made
clear that the date of retirement of each individual pensioner is not suggested as a criterion for
classification as that would lead to an absurd result, because in that event every pensioner relevant
to his date of retirement will form a class unto himself.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 15respondents, pensioners who retire from Central Government service and are governed by the
relevant pension rules all do not form a class but pensioners who retire prior to a certain date and
those who retire subsequent to a certain date form distinct and separate classes.","What is suggested is that when a pension
scheme undergoes a revision and is enforced effective form a certain date, the date so specified
becomes a sort of a Rubicon and those who retire prior to that date form one class and those who
retire on a subsequent date form a distinct and separate class and no one can cross the Rubicon."
"What is suggested is that when a pension
scheme undergoes a revision and is enforced effective form a certain date, the date so specified
becomes a sort of a Rubicon and those who retire prior to that date form one class and those who
retire on a subsequent date form a distinct and separate class and no one can cross the Rubicon.","It may be made
clear that the date of retirement of each individual pensioner is not suggested as a criterion for
classification as that would lead to an absurd result, because in that event every pensioner relevant
to his date of retirement will form a class unto himself.","And the learned Attorney General contended that this differentiation is grounded on a rational
principle and it has a direct correlation to the object sought to be achieved by liberalised pension
formula."
"And the learned Attorney General contended that this differentiation is grounded on a rational
principle and it has a direct correlation to the object sought to be achieved by liberalised pension
formula.","What is suggested is that when a pension
scheme undergoes a revision and is enforced effective form a certain date, the date so specified
becomes a sort of a Rubicon and those who retire prior to that date form one class and those who
retire on a subsequent date form a distinct and separate class and no one can cross the Rubicon.","The approach of the respondents raises a vital and none too easy of answer, question as to why
pension is paid."
"The approach of the respondents raises a vital and none too easy of answer, question as to why
pension is paid.","And the learned Attorney General contended that this differentiation is grounded on a rational
principle and it has a direct correlation to the object sought to be achieved by liberalised pension
formula.",And why was it required to be liberalised ?
"Is the employer, which expression will
include even the State, bound to pay pension ?",And why was it required to be liberalised ?,"Is there any obligation on the employer to provide for
the erstwhile employee even after the contract of employment has come to an end and the employee
has ceased to render service ?"
What is a pension ?,"Is there any obligation on the employer to provide for
the erstwhile employee even after the contract of employment has come to an end and the employee
has ceased to render service ?",What are the goals of pension ?
What are the goals of pension ?,What is a pension ?,"What public interest or purpose, if any, it seeks
to serve ?"
"The antiquated notion of pension being a bounty a gratituous payment depending upon the sweet
will or grace of the employer not claimable as a right and, therefore, no right to pension can be
enforced through Court has been swept under the carpet by the decision of the Constitution Bench
in Deoki Nandan Prasad v. State of Bihar & Ors.","We need seek answer to these and incidental questions so as
to render just justice between parties to this petition.","(1) wherein this Court authoritatively ruled that
pension is a right and the payment of it does not depend upon the discretion of the Government but
is governed by the rules and a Government servant coming within those rules is entitled to claim
pension."
"(1) wherein this Court authoritatively ruled that
pension is a right and the payment of it does not depend upon the discretion of the Government but
is governed by the rules and a Government servant coming within those rules is entitled to claim
pension.","The antiquated notion of pension being a bounty a gratituous payment depending upon the sweet
will or grace of the employer not claimable as a right and, therefore, no right to pension can be
enforced through Court has been swept under the carpet by the decision of the Constitution Bench
in Deoki Nandan Prasad v. State of Bihar & Ors.",It was further held that the grant of pension does not depend upon any one's discretion.
It was further held that the grant of pension does not depend upon any one's discretion.,"(1) wherein this Court authoritatively ruled that
pension is a right and the payment of it does not depend upon the discretion of the Government but
is governed by the rules and a Government servant coming within those rules is entitled to claim
pension.","It
is only for the purpose of quantifying the amount having regard to service and other allied matters
that it may be necessary for the authority to pass an order to that effect but the right to receive
pension flows to the officer not because of any such order but by virtue of the rules."
"It
is only for the purpose of quantifying the amount having regard to service and other allied matters
that it may be necessary for the authority to pass an order to that effect but the right to receive
pension flows to the officer not because of any such order but by virtue of the rules.",It was further held that the grant of pension does not depend upon any one's discretion.,"This view was
reaffirmed in State of Punjab & Anr."
"There are various kinds of pensions and there are equally various methods of funding pension
programmes.",v. Iqbal Singh (1).,"The present enquiry is limited to non-contributory superannuation or retirement
pension paid by Government to its erstwhile employee and the purpose and object underlying it."
"The present enquiry is limited to non-contributory superannuation or retirement
pension paid by Government to its erstwhile employee and the purpose and object underlying it.","There are various kinds of pensions and there are equally various methods of funding pension
programmes.",Initially this class of pension appears to have been introduced as a reward for loyal service.
Initially this class of pension appears to have been introduced as a reward for loyal service.,"The present enquiry is limited to non-contributory superannuation or retirement
pension paid by Government to its erstwhile employee and the purpose and object underlying it.","Probably
the alien rulers who recruited employees in lower echelons of service from the colony and exported
higher level employees from the seat of Empire, wanted to ensure in the case of former continued
loyalty till death to the alien rulers and in the case of latter, an assured decent living standard in old
age ensuring economic security at the cost of the colony.D.S."
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 16In the course of transformation of society from feudal to welfare and as socialistic thinking acquired
respectability, State obligation to provide security in old age, an escape from undeserved want was
recognised and as a first step pension was treated not only as a reward for past service but with a
view to helping the employee to avoid destitution in old age.","Probably
the alien rulers who recruited employees in lower echelons of service from the colony and exported
higher level employees from the seat of Empire, wanted to ensure in the case of former continued
loyalty till death to the alien rulers and in the case of latter, an assured decent living standard in old
age ensuring economic security at the cost of the colony.D.S.","The quid pro quo, was that when the
employee was physically and mentally alert he rendered unto master the best, expecting him to look
after him in the fall of life."
"As
the present case is concerned with superannuation pension, a brief history of its initial introduction
in early stages and continued existence till today may be illuminating.","(see Retirement Systems for Public Employees by Bleakney, page 33.)","Superannuation is the most
descriptive word of all but has become obsolescent because it seems ponderous."
"Its genesis can be
traced to the first Act of Parliament (in U.K.) to be concerned with the provision of pensions
generally in public offices.","Superannuation is the most
descriptive word of all but has become obsolescent because it seems ponderous.",It was passed in 1810.
"The Act which substantively devoted itself
exclusively to the problem of superannuation pension was superannuation Act of 1834.",It was passed in 1810.,"These are
landmarks in pension history because they attempted for the first time to establish a comprehensive
and uniform scheme for all whom we may now call civil servants."
"These are
landmarks in pension history because they attempted for the first time to establish a comprehensive
and uniform scheme for all whom we may now call civil servants.","The Act which substantively devoted itself
exclusively to the problem of superannuation pension was superannuation Act of 1834.","Even before the 19th century, the
problem of providing for public servants who are unable, through old age or incapacity, to continue
working, has been recognised, but methods of dealing with the problem varied from society to
society and even occasionally from department to department."
"The Report was pungent in its
criticism when it says that: ""in civil services comparable to lightness of work and the certainty of
provision in case of retirement owing to bodily incapacity, furnish strong inducements to the
parents and friends of sickly youths to endeavour to obtain for them employment in the service of
the Government, and the extent to which the public are consequently burdened; first with the
salaries of officers who are obliged to absent themselves from their duties on account of ill health,
and afterwards with their pensions when they retire on the same plea, would hardly be credited by
those who have not had opportunities of observing the operation of the system"" (see Gerald Rhodes,
Public Sector Pensions, pp.","The
Report of the Commission is known as ""Northcote-Trevelyan Report"".",18-19).
Let us therefore examine what are the goals that pension scheme seeks to subserve ?,"This approach is utterly unfair because in modern times public services are manned by those who
enter at a comparatively very young age, with selection through national competitive examination
and ordinarily the best talent gets the opportunity.","A pension
scheme consistent with available resources must provide that the pensioner would be able to live: (i)
free from want, with decency, independence and self-respect, and (ii) at a standard equivalent at the
pre-retirement level."
"A pension
scheme consistent with available resources must provide that the pensioner would be able to live: (i)
free from want, with decency, independence and self-respect, and (ii) at a standard equivalent at the
pre-retirement level.",Let us therefore examine what are the goals that pension scheme seeks to subserve ?,This approach may merit the criticism that if a developing country like IndiaD.S.
"The law is one of
the chief instruments whereby the social policies are implemented and 'pension is paid according to
rules which can be said to provide social security law by which it is meant those legal mechanisms
primarily concerned to ensure the provision for the individual of a cash income adequate, when
taken along with the benefits in kind provided by other social services (such as free medical aid) to
ensure for him a culturally acceptable minimum standard of living when the normal means of doing
so failed'.",These objectives are in turn a determinant of a social policy.,"(see Social Security law by Prof. Harry Calvert, p. 1)."
"Viewed in the light of the present day notions pension is a term applied to periodic money payments
to a person who retires at a certain age considered age of disability; payments usually continue for
the rest of the natural life of the recipient.","(see Social Security law by Prof. Harry Calvert, p. 1).","The reasons underlying the grant of pension vary from
country to country and from scheme to scheme."
"The reasons underlying the grant of pension vary from
country to country and from scheme to scheme.","Viewed in the light of the present day notions pension is a term applied to periodic money payments
to a person who retires at a certain age considered age of disability; payments usually continue for
the rest of the natural life of the recipient.","But broadly stated they are (i) as compensation to
former members of the armed forces or their dependents for old age, disability, or death (usually
from service causes),
(ii) as old age retirement or disability benefits for civilian employees, and (iii) as social security
payments for the aged, disabled, or deceased citizens made in accordance with the rules governing
social service programmes of the country."
"There are other views about pensions such as charity, paternalism, deferred
pay, rewards for service rendered, or as a means or promoting general welfare (see Encyclopaedia
Britannica, Vol.","Under the second head they have been in force in one form or another in some countries for over a
century but those coming under the third head are relatively of recent origin, though they are of the
greatest magnitude.",17 p.575.)
"However, as held in Douge v. Board of
Education(1) a pension is closely akin to wages in that it consists of payment provided by an
employer, is paid in consideration of past service and serves the purpose of helping the recipient
meet the expenses of living.","Pension to civil employees of the Government and the defence personnel as administered in India
appear to be a compensation for service rendered in the past.","This appears to be the nearest to our approach to pension with the
added qualification that it should ordinarily ensure freedom from undeserved want."
"This appears to be the nearest to our approach to pension with the
added qualification that it should ordinarily ensure freedom from undeserved want.","However, as held in Douge v. Board of
Education(1) a pension is closely akin to wages in that it consists of payment provided by an
employer, is paid in consideration of past service and serves the purpose of helping the recipient
meet the expenses of living.","Summing-up it can be said with confidence that pension is not only compensation for loyal service
rendered in the past, but pension also has a broader significance, in that it is a measure of
socio-economic justice which inheres economic security in the fall of life when physical and mental
prowess is ebbing corresponding to aging process and therefore, one is required to fall back onD.S."
"Summing-up it can be said with confidence that pension is not only compensation for loyal service
rendered in the past, but pension also has a broader significance, in that it is a measure of
socio-economic justice which inheres economic security in the fall of life when physical and mental
prowess is ebbing corresponding to aging process and therefore, one is required to fall back onD.S.","This appears to be the nearest to our approach to pension with the
added qualification that it should ordinarily ensure freedom from undeserved want.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 18savings."
"Thus the pension payable to a
Government employee is earned by rendering long and efficient service and therefore can be said to
be a deferred portion of the compensation or for service rendered.","The term has been
judicially defined as a stated allowance or stipend made in consideration of past service or a
surrender of rights or emoluments to one retired from service.","In one sentence one can say that
the most practical raison d'etre for pension is the inability to provide for oneself due to old age."
"In one sentence one can say that
the most practical raison d'etre for pension is the inability to provide for oneself due to old age.","Thus the pension payable to a
Government employee is earned by rendering long and efficient service and therefore can be said to
be a deferred portion of the compensation or for service rendered.","One
may live and avoid unemployment but not senility and penury if there is nothing to fall back upon."
"The discernible purpose thus underlying pension scheme or a statute introducing the pension
scheme must inform interpretative process and accordingly it should receive a liberal construction
and the courts may not so interpret such statute as to render them inane (see American
Jurisprudence 2d.","One
may live and avoid unemployment but not senility and penury if there is nothing to fall back upon.",881).
"From the discussion three things emerge : (i) that pension is neither a bounty nor a matter of grace
depending upon the sweet will of the employer and that it creates a vested right subject to 1972 rules
which are statutory in character because they are enacted in exercise of powers conferred by the
proviso to Art.",881).,309 and clause (5) of Art.
"148 of the Constitution ; (ii) that the pension is not an
ex-gratia payment but it is a payment for the past service rendered ; and (iii) it is a social welfare
measure rendering socio-economic justice to those who in the hey-day of their life ceaselessly toiled
for the employer on an assurance that in their old age they would not be left in lurch.",309 and clause (5) of Art.,"It must also be
noticed that the quantum of pension is a certain percentage correlated to the average emoluments
drawn during last three years of service reduced to ten months under liberalised pension scheme."
"It must also be
noticed that the quantum of pension is a certain percentage correlated to the average emoluments
drawn during last three years of service reduced to ten months under liberalised pension scheme.","148 of the Constitution ; (ii) that the pension is not an
ex-gratia payment but it is a payment for the past service rendered ; and (iii) it is a social welfare
measure rendering socio-economic justice to those who in the hey-day of their life ceaselessly toiled
for the employer on an assurance that in their old age they would not be left in lurch.","Its
payment is dependent upon an additional condition of impeccable behaviour even subsequent to
requirement, that is, since the cessation of the contract of service and that it can be reduced or
withdrawn as a disciplinary measure."
"Having succinctly focussed our attention on the conspectus of elements and incidents of pension the
main question may now be tackled.","Its
payment is dependent upon an additional condition of impeccable behaviour even subsequent to
requirement, that is, since the cessation of the contract of service and that it can be reduced or
withdrawn as a disciplinary measure.","But, the approach of court while considering such measure is of
paramount importance."
"Expanding this principle, one can confidently say that if pensioners form a
class, their computation cannot be by different formula affording unequal treatment solely on the
ground that some retired earlier and some retired later.","If that can't be done when they are in service, can that be done
during their retirement?",Art.
"The challenge is not
to the validity of the pension liberalisation scheme.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 21With this background let us now turn to the challenge posed in these petitions.","The scheme is wholly acceptable to the
petitioners, nay they are ardent supporters of it, nay further they seek the benefit of it."
"In other words, they challenge that the scheme must be
uniformly enforced with regard to all pensioners for the purpose of computation of pension
irrespective of the date when the Government servant retired subject to the only condition that he
was governed by the 1972 Rules.","The
petitioners challenge only that part of the scheme by which its benefits are admissible to those who
retired from service after a certain date.","No doubt, the benefit of the scheme will be available from the
specified date, irrespective of the fact when the concerned Government servant actually retired from
service."
"Having set out clearly the society which we propose to set up, the direction in which the State action
must move, the welfare State which we propose to build up, the constitutional goal of setting up a
socialist State and the assurance in the Directive Principles of State Policy especially of security in
old age at least to those who have rendered useful service during their active years, it is indisputable,
nor was it questioned, that pension as a retirement benefit is in consonance with and furtherance of
the goals of the Constitution.","No doubt, the benefit of the scheme will be available from the
specified date, irrespective of the fact when the concerned Government servant actually retired from
service.","The goals for which pension is paid themselves give a fillip and push to
the policy of setting up a welfare State because by pension the socialist goal of security of cradle to
grave is assured at least when it is mostly needed and least available, namely, in the fall of life."
"The goals for which pension is paid themselves give a fillip and push to
the policy of setting up a welfare State because by pension the socialist goal of security of cradle to
grave is assured at least when it is mostly needed and least available, namely, in the fall of life.","Having set out clearly the society which we propose to set up, the direction in which the State action
must move, the welfare State which we propose to build up, the constitutional goal of setting up a
socialist State and the assurance in the Directive Principles of State Policy especially of security in
old age at least to those who have rendered useful service during their active years, it is indisputable,
nor was it questioned, that pension as a retirement benefit is in consonance with and furtherance of
the goals of the Constitution.","If such be the goals of pension, if such be the welfare State which we propose to set up, if such be the
goals of socialism and conceding that any welfare measure may consistent with economic capacity of
the State be progressively augmented with wider width and a longer canvass yet when the economic
means permit the augmentation, should some be left out for the sole reason that while in the
formative years of the nascent State they contributed their mite but when the fruits of their labour
led to the flowering of economic development and higher gross national produce bringing in larger
revenue and therefore larger cake is available, they would be denied any share of it ?"
"If such be the goals of pension, if such be the welfare State which we propose to set up, if such be the
goals of socialism and conceding that any welfare measure may consistent with economic capacity of
the State be progressively augmented with wider width and a longer canvass yet when the economic
means permit the augmentation, should some be left out for the sole reason that while in the
formative years of the nascent State they contributed their mite but when the fruits of their labour
led to the flowering of economic development and higher gross national produce bringing in larger
revenue and therefore larger cake is available, they would be denied any share of it ?","The goals for which pension is paid themselves give a fillip and push to
the policy of setting up a welfare State because by pension the socialist goal of security of cradle to
grave is assured at least when it is mostly needed and least available, namely, in the fall of life.","Indisputably,
viewed from any angle pensioners for payment of pension form a class."
"Indisputably,
viewed from any angle pensioners for payment of pension form a class.","If such be the goals of pension, if such be the welfare State which we propose to set up, if such be the
goals of socialism and conceding that any welfare measure may consistent with economic capacity of
the State be progressively augmented with wider width and a longer canvass yet when the economic
means permit the augmentation, should some be left out for the sole reason that while in the
formative years of the nascent State they contributed their mite but when the fruits of their labour
led to the flowering of economic development and higher gross national produce bringing in larger
revenue and therefore larger cake is available, they would be denied any share of it ?","Unquestionably pension is
linked to length of service and the last pay drawn but the last pay does not imply the pay on the last
day of retirement but average emoluments as defined in the scheme."
"Unquestionably pension is
linked to length of service and the last pay drawn but the last pay does not imply the pay on the last
day of retirement but average emoluments as defined in the scheme.","Indisputably,
viewed from any angle pensioners for payment of pension form a class.","Earlier average emoluments of
36 months' service provided the measure of pension because the pension was related to the average
emoluments during 36 months just preceding retirement."
"Earlier average emoluments of
36 months' service provided the measure of pension because the pension was related to the average
emoluments during 36 months just preceding retirement.","Unquestionably pension is
linked to length of service and the last pay drawn but the last pay does not imply the pay on the last
day of retirement but average emoluments as defined in the scheme.","By the liberalised scheme it is now
reduced to average emoluments of 10 months preceding the date."
"Now, if the pensioners who retired prior to the
specified date and had to earn pension on the average emoluments of 36 months' salary just
preceding the date of retirement, naturally the average would be lower and they will be doubly hit
because the slab system as now introduced was not available and the ceiling was at a lower level.",This is liberalisation.,"Thus they suffer triple jeopardy, viz., lower average emoluments, absence of slab system and lower
ceiling.D.S."
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 22What then is the purpose in prescribing the specified date vertically dividing the pensioners between
those who retired prior to the specified date and those who retire subsequent to that date?","Thus they suffer triple jeopardy, viz., lower average emoluments, absence of slab system and lower
ceiling.D.S.","That
poses the further question, why was the pension scheme liberalised ?"
"That
poses the further question, why was the pension scheme liberalised ?","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 22What then is the purpose in prescribing the specified date vertically dividing the pensioners between
those who retired prior to the specified date and those who retire subsequent to that date?","What necessitated
liberalisation of the pension scheme ?"
"What necessitated
liberalisation of the pension scheme ?","That
poses the further question, why was the pension scheme liberalised ?","Both the impugned memoranda do not spell out the raison d'etre for liberalising the pension
formula."
"Both the impugned memoranda do not spell out the raison d'etre for liberalising the pension
formula.","What necessitated
liberalisation of the pension scheme ?",In the affidavit in opposition by Shri S.N.
"Mathur, it has been stated that the liberalisation
of pension of retiring Government servants was decided by the Government in view of the persistent
demand of the Central Government employees represented in the scheme of Joint Consultative
Machinery.",In the affidavit in opposition by Shri S.N.,"This would clearly imply that the preliberalised pension scheme did not provide
adequate protection in old age and that a further liberalisation was necessary as a measure of
economic security."
"This would clearly imply that the preliberalised pension scheme did not provide
adequate protection in old age and that a further liberalisation was necessary as a measure of
economic security.","Mathur, it has been stated that the liberalisation
of pension of retiring Government servants was decided by the Government in view of the persistent
demand of the Central Government employees represented in the scheme of Joint Consultative
Machinery.","When Government favourably responded to the demand it thereby ipso facto
conceded that there was a larger available national cake part of which could be utilised for providing
higher security to erstwhile government servants who would retire."
"The Government also took note
of the fact that continuous upward movement of the cost of living index as a sequel of inflationary
inputs and diminishing purchasing power of rupee necessitated upward revision of pension.","When Government favourably responded to the demand it thereby ipso facto
conceded that there was a larger available national cake part of which could be utilised for providing
higher security to erstwhile government servants who would retire.","If this
be the underlying intendment of liberalisation of pension scheme, can any one be bold enough to
assert that it was good enough only for those who would retire subsequent to the specified date but
those who had already retired did not suffer the pangs of rising prices and falling purchasing power
of the rupee ?"
"If this
be the underlying intendment of liberalisation of pension scheme, can any one be bold enough to
assert that it was good enough only for those who would retire subsequent to the specified date but
those who had already retired did not suffer the pangs of rising prices and falling purchasing power
of the rupee ?","The Government also took note
of the fact that continuous upward movement of the cost of living index as a sequel of inflationary
inputs and diminishing purchasing power of rupee necessitated upward revision of pension.",What is the sum total of picture ?
"Those
who rendered the same service earned less pension and are exposed to the vagary of rising prices
consequent upon the inflationary inputs.","Earlier the scheme was not that liberal keeping in
view the definition of average emoluments and the absence of slab system and a lower ceiling.","If therefore, those who are to retire subsequent to the
specified date would feel the pangs in their old age, of lack of adequate security, by what stretch of
imagination the same can be denied to those who retired earlier with lower emoluments and yet are
exposed to the vagaries of the rising prices and the falling purchasing power of the rupee."
"The Government was perfectly justified in liberalising the
pension scheme.","And the
greater misfortune is that they are becoming older and older compared to those who would be
retiring subsequent to the specified date.",In fact it was overdue.
"But we find no justification for arbitrarily selecting the
criteria for eligibility for the benefits of the scheme dividing the pensioners all of whom would be
retirees but falling on one or the other side of the specified date.",In fact it was overdue.,"Therefore, let us proceed to examine whether there was any rationale behind the eligibility
qualification."
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 23present case the scheme as it stands would not cover pensioners such as the petitioners and if by
severance an attempt is made to include them in the scheme it is not cutting down the class or the
scope but enlarge the ambit of the scheme which is impermissible even under the doctrine of
severability.","It was
also said that severance always cuts down the scope of legislation but can never enlarge it and in theD.S.","In this context it was lastly submitted that there is not a single case in India or
elsewhere where the Court has included some category within the scope of provisions of a law to
maintain its constitutionality."
"If it appears to be undisputable, as it does to us that the pensioners for the purpose of pension
benefits form a class, would its upward revision permit a homogeneous class to be divided by
arbitrarily fixing an eligibility criteria unrelated to purpose of revision, and would such classification
be founded on some rational principle ?",We are all the more happy for the chance of scribbling on a clean slate.,"The classification has to be based, as is well settled, on some
rational principle and the rational principle must have nexus to the objects sought to be achieved."
We have set out the objects underlying the payment of pension.,"The classification has to be based, as is well settled, on some
rational principle and the rational principle must have nexus to the objects sought to be achieved.","If the State considered it necessary
to liberalise the pension scheme, we find no rational principle behind it for granting these benefits
only to those who retired subsequent to that date simultaneously denying the same to those who
retired prior to that date."
"If the State considered it necessary
to liberalise the pension scheme, we find no rational principle behind it for granting these benefits
only to those who retired subsequent to that date simultaneously denying the same to those who
retired prior to that date.",We have set out the objects underlying the payment of pension.,"If the liberalisation was considered necessary for augmenting social
security in old age to government servants then those who retired earlier cannot be worst off than
those who retire later."
"Therefore, this division which classified pensioners into two classes is not
based on any rational principle and if the rational principle is the one of dividing pensioners with a
view to giving something more to persons otherwise equally placed, it would be discriminatory.","If the liberalisation was considered necessary for augmenting social
security in old age to government servants then those who retired earlier cannot be worst off than
those who retire later.","To
illustrate, take two persons, one retired just a day prior and another a day just succeeding the
specified date."
"How does a fortuitous circumstance of retiring a day
earlier or a day later will permit totally unequal treatment in the matter of pension ?","Both were in the same pay bracket, the average emolument was the same and both
had put in equal number of years of service.","One retiring a
day earlier will have to be subject to ceiling of Rs."
"Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 24into face and is unrelated to any principle and whatever principle, if there be any, has absolutely no
nexus to the objects sought to be achieved by liberalising the pension scheme.",The artificial division staresD.S.,"In fact this arbitrary
division has not only no nexus to the liberalised pension scheme but it is counter productive and
runs counter to the whole gamut of pension scheme."
"In fact this arbitrary
division has not only no nexus to the liberalised pension scheme but it is counter productive and
runs counter to the whole gamut of pension scheme.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 24into face and is unrelated to any principle and whatever principle, if there be any, has absolutely no
nexus to the objects sought to be achieved by liberalising the pension scheme.",The equal treatment guaranteed in Art.
"14 is
wholly violated inasmuch as the pension rules being statutory in character, since the specified date,
the rules accord differential and discriminatory treatment to equals in the matter of commutation of
pension.",The equal treatment guaranteed in Art.,A 48 hours difference in matter of retirement would have a traumatic effect.
"The two sub-limbs of the submissions were that, (i) the Court cannot make a scheme having
financial implications retroactive, and (ii) this Court cannot grant any relief to the pensioners who
retired prior to a specified date because if more persons divide the available cake, the residue falling
to the share of each especially to those who are likely to be benefited by the scheme will be
comparatively smaller and as they are not before the Court, no relief can be given to the pensioners.","The learned Attorney-General contended that the scheme is to be taken as a whole or rejected as a
whole and the date from which it came into force is an integral and inseparable part of the scheme.",Let us clear one misconception.
"The pension scheme including the liberalised scheme available to
the Government employees is non-contributory in character.",Let us clear one misconception.,"It was not pointed out that there is
something like a pension fund."
"It was not pointed out that there is
something like a pension fund.","The pension scheme including the liberalised scheme available to
the Government employees is non-contributory in character.","It is recognised as an item of expenditure and it is budgeted and
voted every year."
"At any given point of time there is no fixed or predetermined pension fund which
is divided amongst eligible pensioners.","It is recognised as an item of expenditure and it is budgeted and
voted every year.","There is no artificially created fund or reservoir from which
pensioners draw pension within the limits of the fund, the share of each being extensive with the
available fund."
"There is no artificially created fund or reservoir from which
pensioners draw pension within the limits of the fund, the share of each being extensive with the
available fund.","At any given point of time there is no fixed or predetermined pension fund which
is divided amongst eligible pensioners.","The payment of pension is a statutory liability undertaken by the Government and
whatever becomes due and payable is budgeted for."
"The payment of pension is a statutory liability undertaken by the Government and
whatever becomes due and payable is budgeted for.","There is no artificially created fund or reservoir from which
pensioners draw pension within the limits of the fund, the share of each being extensive with the
available fund.","One could have appreciated this line of
reasoning where there is a contributory scheme and a pension fund from which alone pension is
disbursed."
"One could have appreciated this line of
reasoning where there is a contributory scheme and a pension fund from which alone pension is
disbursed.","The payment of pension is a statutory liability undertaken by the Government and
whatever becomes due and payable is budgeted for.","That being not the case, there is no question of pensioners dividing the pension fund
which, if more persons are admitted to the scheme, would pro rata affect the share."
